ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
-0.00761,-0.00761,0.020642,0.016372,0.005859,-0.007282,-0.030278,0.021299,0.004545,0.075833
-0.00991,-0.007939,0.019,0.015715,0.012101,-0.004982,-0.029949,0.024913,0.017686,0.032797
-0.010567,-0.007282,0.019328,0.018014,-0.002354,0.003231,-0.029621,0.024913,0.013086,0.037725
-0.003668,-0.006624,0.020642,0.019657,-5.4e-05,-0.00531,-0.027978,0.015715,0.013415,0.023928
-0.004653,-0.00104,0.017686,0.021956,-0.001368,-0.003339,-0.032249,0.024913,0.041667,0.018671
-0.001697,-0.006624,0.014729,0.027541,0.001917,-0.003668,-0.030278,0.022942,0.01013,0.011772
-0.00104,-0.003011,0.016372,0.020314,0.004217,-0.003668,-0.030278,0.023928,0.014729,0.011115
0.002245,-0.003996,0.020314,0.023599,0.009801,0.001588,-0.037834,0.021956,0.007502,0.008159
0.005859,-0.004653,0.022285,0.024913,0.007502,-0.001697,-0.029292,0.011115,0.004217,0.001917
0.001917,-0.004982,0.027541,0.026556,0.008816,0.000274,-0.032577,0.021628,-0.000383,-0.006296
0.002574,-0.005967,0.017029,0.028527,0.006845,0.001917,-0.033563,0.018014,0.008487,0.014401
0.00356,-0.004325,0.017686,0.027213,0.010787,-0.008267,-0.032249,0.020971,0.000931,-0.014837
0.002245,-0.001697,0.017357,0.027213,0.009473,0.004545,-0.039805,0.023599,-0.000383,-0.006296
0.002902,0.005531,0.018343,0.029841,0.012101,0.005531,-0.032249,0.022613,0.025242,-0.008924
0.004545,0.004217,0.012429,0.030826,0.013744,0.003888,-0.029949,0.021299,0.02557,-0.010238
0.007173,0.004874,0.022285,0.033126,-0.000383,0.002245,-0.029292,0.022942,0.001917,-0.000383
0.006188,0.002902,0.020314,0.03214,0.012101,-0.010567,-0.026664,0.025899,0.015386,0.005202
0.009144,0.001588,0.018671,0.029184,0.008159,0.002245,-0.021079,0.028855,-0.014509,0.004217
0.003888,0.003231,0.017029,0.028527,0.014072,-0.003011,-0.026993,0.026556,-0.010567,0.014729
0.006516,0.002902,0.018671,0.016043,0.018014,-0.001368,-0.024693,0.025899,0.012429,0.019
0.004874,0.000603,0.013415,0.026227,0.015715,0.000931,-0.028635,0.024256,0.019657,0.026227
0.005531,-0.000383,0.013744,0.028527,0.010458,0.00126,-0.027978,0.023599,0.031483,0.021956
0.004545,-0.000383,0.013744,0.026884,0.006188,-5.4e-05,-0.03192,0.023599,0.042653,0.048238
0.010458,-5.4e-05,0.014401,0.030169,0.006188,0.000931,-0.029949,0.019,0.031483,0.055137
0.009144,-0.001368,0.014401,0.02787,0.008816,-0.00104,-0.029621,0.021628,0.042653,0.056779
0.005531,-0.001368,0.019328,0.031155,0.011115,-0.00104,-0.029621,0.021299,0.036411,0.060393
0.004874,-0.003996,0.018014,0.024913,0.013086,-0.002354,-0.024364,0.020642,0.038382,0.062035
-0.003668,-0.001368,0.015058,0.027213,0.013744,-0.003011,-0.031263,0.023599,0.05218,0.070248
0.011772,0.000603,0.005859,0.026227,0.012758,-0.00104,-0.027321,0.027541,0.041339,0.068606
0.004217,-0.005639,0.0167,0.028855,0.010787,-0.000383,-0.029621,0.026884,0.045938,0.047909
0.000603,-0.005639,0.014729,0.021299,0.009473,0.000931,-0.031592,0.026556,0.035426,0.066963
-0.000383,-0.00761,0.018014,0.022613,0.012101,0.003888,-0.032577,0.023599,0.035426,0.052837
-0.001368,-0.00761,0.01013,0.024585,0.008159,-0.002025,-0.030606,0.022942,0.02327,0.05218
-0.003011,-0.012866,0.019985,0.022613,0.006516,-0.002682,-0.029621,0.024256,0.002574,0.042653
-0.006624,-0.021408,0.019328,0.014072,0.008159,-0.003996,-0.029292,0.023599,0.025899,0.042653
-0.00531,-0.021408,0.021299,0.017686,0.004545,-0.001368,-0.028635,0.02557,0.012758,0.037725
-0.015494,-0.020422,0.020971,0.017357,0.009473,0.000274,-0.031592,0.027541,0.026556,0.032797
-0.003011,-0.015823,0.020314,0.0167,0.009473,-5.4e-05,-0.026664,0.02557,0.008816,0.02327
-0.007282,-0.01878,0.020314,0.020314,0.008487,-0.003668,-0.026664,0.02787,0.016043,-0.003011
-0.010895,-0.01648,0.022942,0.011115,0.011115,-0.006296,-0.027321,0.027213,0.010787,0.012758
-0.017137,-0.017794,0.022613,0.018671,0.011115,-0.005639,-0.026335,0.027541,0.010458,0.012758
-0.010567,-0.025678,0.024913,0.015715,0.009144,-0.008596,-0.026993,0.026227,0.025899,0.017686
-0.016151,-0.021736,0.02787,0.013415,0.006845,-0.006296,-0.029621,0.02557,0.014729,0.018343
-0.01418,-0.022722,0.0167,0.017686,0.000931,-0.003339,-0.029949,0.022285,0.011444,0.019985
-0.014837,-0.026664,0.023928,0.021956,-0.00104,-0.002682,-0.030606,0.022285,0.006516,0.00356
-0.017137,-0.022393,0.02327,0.022285,-0.001368,0.008487,-0.030278,0.023928,0.006516,0.01013
-0.019765,-0.014837,0.021628,0.02557,0.003888,0.002245,-0.028964,0.024913,0.022613,0.005859
-0.005639,-0.010895,0.021628,0.026884,0.008159,0.00356,-0.030278,0.02327,0.007173,0.020642
-5.4e-05,0.001917,0.021299,0.031812,0.009473,0.002902,-0.027321,0.02327,0.00126,0.043967
0.004545,0.003888,0.02327,0.031483,0.005531,0.000931,-0.026993,0.024256,0.011115,0.012429
0.00356,0.007173,0.021956,0.028855,0.005859,0.00126,-0.028307,0.024256,0.013086,0.016372
0.005531,0.006188,0.020971,0.02787,0.00356,0.000274,-0.022065,0.023599,0.027213,0.015386
0.004545,-0.000711,0.018343,0.030169,0.002245,0.004545,-0.031592,0.021628,0.027541,0.025899
0.002245,0.000274,0.020642,0.025242,0.002245,0.002902,-0.030935,0.023928,0.023599,0.02787
0.001917,-0.00531,0.015715,0.029184,0.011444,-0.001368,-0.029949,0.024585,0.025899,0.030169
-0.000711,-0.006953,0.014729,0.032797,-0.000711,-0.002354,-0.031592,0.024585,0.022942,0.033783
-0.002682,-0.007939,0.018014,0.02787,0.00356,-0.006296,-0.029621,0.017357,0.036411,0.046924
-0.004325,-0.006624,0.024913,0.028527,0.002574,-0.004325,-0.030278,0.026227,0.047252,0.031812
-0.001697,-0.003668,0.017686,0.035097,0.004545,-0.003996,-0.029292,0.021956,0.029841,0.04561
-0.000383,-0.007939,0.020314,0.022942,0.001588,0.002902,-0.031263,0.021956,0.028527,0.059079
-0.001697,-0.008267,0.017357,0.026556,0.00126,-0.003668,-0.03422,0.022613,0.038054,0.051194
-0.003668,-0.003996,0.015058,0.024913,0.002902,-0.003996,-0.030606,0.02327,0.039368,0.047252
-0.002682,-0.014837,0.026227,0.02327,0.002902,-0.00104,-0.032249,0.021956,0.027213,0.04101
-0.001368,-0.012209,0.0167,0.017357,0.012101,0.002245,-0.032906,0.021299,0.036411,0.026884
0.001588,-0.013852,0.020642,0.012101,0.001917,0.004217,-0.030606,0.018671,0.023928,0.041996
0.008816,-0.011552,0.021628,0.009473,0.005202,0.005202,-0.026664,0.010787,0.018343,0.032469
-0.001697,-0.000383,0.019328,0.007502,0.007502,0.005202,-0.02765,0.026556,0.003231,0.039368
0.004545,-0.008267,0.019,0.004874,0.007173,0.005202,-0.029949,0.022613,0.021299,0.026556
